,formattedAddress,location,rating,regularOpeningHours,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,postalAddress,priceRange,websiteUri
0,"C. 27 117, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.894740499999997, 'longitude': -89.7314854}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 17, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 17, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 17, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 17, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:00\u2009–\u200911:00\u202fPM', 'Tuesday: 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u2009–\u200911:00\u202fPM'], 'nextCloseTime': '2025-10-22T05:00:00Z'}",OPERATIONAL,2.0,"{'text': 'Frappe shop suc san lorenzo', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 27 117']}",,
1,"C. 27 131, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8945503, 'longitude': -89.732288}",3.0,"{'openNow': False, 'periods': [{'open': {'day': 1, 'hour': 7, 'minute': 30}, 'close': {'day': 1, 'hour': 11, 'minute': 30}}, {'open': {'day': 1, 'hour': 18, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 30}}, {'open': {'day': 2, 'hour': 7, 'minute': 30}, 'close': {'day': 2, 'hour': 11, 'minute': 30}}, {'open': {'day': 2, 'hour': 18, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 30}}, {'open': {'day': 3, 'hour': 7, 'minute': 30}, 'close': {'day': 3, 'hour': 11, 'minute': 30}}, {'open': {'day': 3, 'hour': 18, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 30}}, {'open': {'day': 4, 'hour': 7, 'minute': 30}, 'close': {'day': 4, 'hour': 11, 'minute': 30}}, {'open': {'day': 4, 'hour': 18, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 30}}, {'open': {'day': 5, 'hour': 7, 'minute': 30}, 'close': {'day': 5, 'hour': 11, 'minute': 30}}, {'open': {'day': 5, 'hour': 18, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 30}}, {'open': {'day': 6, 'hour': 7, 'minute': 30}, 'close': {'day': 6, 'hour': 11, 'minute': 30}}, {'open': {'day': 6, 'hour': 18, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 30}}], 'weekdayDescriptions': ['Monday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Tuesday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Wednesday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Thursday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Friday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Saturday: 7:30\u2009–\u200911:30\u202fAM, 6:00\u2009–\u200910:30\u202fPM', 'Sunday: Closed'], 'nextOpenTime': '2025-10-22T13:30:00Z'}",OPERATIONAL,5.0,"{'text': 'Panucheria Doña Yolí', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'San Lorenzo, Umán', 'addressLines': ['C. 27 131']}",,
2,"C. 20, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8915676, 'longitude': -89.73026759999999}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 6, 'minute': 0}, 'close': {'day': 0, 'hour': 12, 'minute': 0}}, {'open': {'day': 1, 'hour': 6, 'minute': 0}, 'close': {'day': 1, 'hour': 12, 'minute': 0}}, {'open': {'day': 2, 'hour': 6, 'minute': 0}, 'close': {'day': 2, 'hour': 12, 'minute': 0}}, {'open': {'day': 3, 'hour': 6, 'minute': 0}, 'close': {'day': 3, 'hour': 12, 'minute': 0}}, {'open': {'day': 4, 'hour': 6, 'minute': 0}, 'close': {'day': 4, 'hour': 12, 'minute': 0}}, {'open': {'day': 5, 'hour': 6, 'minute': 0}, 'close': {'day': 5, 'hour': 12, 'minute': 0}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 12, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fPM'], 'nextOpenTime': '2025-10-22T12:00:00Z'}",OPERATIONAL,1.0,"{'text': 'Taquería mi Angel', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 20']}",,
3,"Campeche-Mérida 11592, 97392 Mérida, Yuc., Mexico","{'latitude': 20.8941657, 'longitude': -89.69346639999999}",,,OPERATIONAL,,"{'text': 'Barra andatti Gourmet Santa Cruz', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97392', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['Campeche-Mérida 11592']}",,
4,"C. 40a 823c, Piedra de Agua, 97392 Umán, Yuc., Mexico","{'latitude': 20.9021989, 'longitude': -89.6958089}",,,OPERATIONAL,,"{'text': 'Antojeria', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97392', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Piedra de Agua', 'addressLines': ['C. 40a 823c']}",,
5,"97300 San Marcos Sustentable, 97300 Mérida, Yuc., Mexico","{'latitude': 20.900779, 'longitude': -89.6664215}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 7, 'minute': 0}, 'close': {'day': 0, 'hour': 11, 'minute': 0}}, {'open': {'day': 1, 'hour': 6, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 6, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 6, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 6, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 6, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 30}}], 'weekdayDescriptions': ['Monday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 7:00\u2009–\u200911:00\u202fAM'], 'nextCloseTime': '2025-10-22T05:00:00Z'}",OPERATIONAL,5.0,"{'text': 'NIÑOS SANTOS CAFÉ GOURMET', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97300', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['97300 San Marcos Sustentable']}",,
6,"97295 Merida, Yucatan, Mexico","{'latitude': 20.898615600000003, 'longitude': -89.66505029999999}",4.5,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 18, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 18, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 18, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 18, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 18, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 18, 'minute': 30}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: Closed', 'Thursday: 6:00\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u2009–\u200910:00\u202fPM'], 'nextOpenTime': '2025-10-24T00:00:00Z'}",OPERATIONAL,14.0,"{'text': ""Moheno's Café"", 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'administrativeArea': 'Yucatan', 'locality': 'Merida'}",,
7,"97297, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.8998015, 'longitude': -89.649911}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 16, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 16, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM'], 'nextOpenTime': '2025-10-22T22:00:00Z'}",OPERATIONAL,1.0,"{'text': 'Cherry Whispers: Lushbar Coffee', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'San Antonio Xluch III', 'addressLines': ['97297']}",,
8,"C. 191 1, Guadalupana, 97315 Mérida, Yuc., Mexico","{'latitude': 20.8954217, 'longitude': -89.63660670000002}",5.0,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 16, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 16, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 16, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM'], 'nextOpenTime': '2025-10-22T22:00:00Z'}",OPERATIONAL,4.0,"{'text': 'Cafeteria 191', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97315', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Guadalupana', 'addressLines': ['C. 191 1']}",,
9,"C. 50 entre Calle 171, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9047751, 'longitude': -89.6184792}",5.0,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 18, 'minute': 30}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 18, 'minute': 30}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 18, 'minute': 30}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 18, 'minute': 30}, 'close': {'day': 3, 'hour': 21, 'minute': 30}}, {'open': {'day': 5, 'hour': 18, 'minute': 30}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 18, 'minute': 30}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 6:30\u2009–\u200911:00\u202fPM', 'Tuesday: 6:30\u2009–\u200911:00\u202fPM', 'Wednesday: 6:30\u2009–\u20099:30\u202fPM', 'Thursday: Closed', 'Friday: 6:30\u2009–\u200911:00\u202fPM', 'Saturday: 6:30\u2009–\u200911:00\u202fPM', 'Sunday: 6:30\u2009–\u200911:00\u202fPM'], 'nextCloseTime': '2025-10-22T05:00:00Z'}",OPERATIONAL,15.0,"{'text': 'Efrappé', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97285', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['C. 50 entre Calle 171']}","{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '100'}}",
