,id,formattedAddress,location,rating,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,postalAddress,priceRange,websiteUri
0,ChIJ21xPrRcTVo8R8NtbxJTwrAY,"C. 27 117, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.894740499999997, 'longitude': -89.7314854}",5.0,OPERATIONAL,2.0,"{'text': 'Frappe shop suc san lorenzo', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 27 117']}",,
1,ChIJiy4UiFITVo8R2gZm2huVwGI,"C. 27 131, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8945503, 'longitude': -89.732288}",3.0,OPERATIONAL,5.0,"{'text': 'Panucheria Doña Yolí', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'San Lorenzo, Umán', 'addressLines': ['C. 27 131']}",,
2,ChIJ_2E3cAATVo8RG3CRsaAiel4,"C. 20, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8915676, 'longitude': -89.73026759999999}",5.0,OPERATIONAL,1.0,"{'text': 'Taquería mi Angel', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97390', 'administrativeArea': 'Yucatan', 'locality': 'Uman', 'sublocality': 'Umán', 'addressLines': ['C. 20']}",,
3,ChIJndc0PwBtVo8RbDj1kFhr-4E,"Campeche-Mérida 11592, 97392 Mérida, Yuc., Mexico","{'latitude': 20.8941657, 'longitude': -89.69346639999999}",,OPERATIONAL,,"{'text': 'Barra andatti Gourmet Santa Cruz', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97392', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'addressLines': ['Campeche-Mérida 11592']}",,
4,ChIJZ4kqBaVtVo8RYIOkor7j8ZY,"97295 Merida, Yucatan, Mexico","{'latitude': 20.898615600000003, 'longitude': -89.66505029999999}",4.5,OPERATIONAL,14.0,"{'text': ""Moheno's Café"", 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'administrativeArea': 'Yucatan', 'locality': 'Merida'}",,
5,ChIJxUgI6pJtVo8RK7QIs2QD1LI,"97297, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.8998015, 'longitude': -89.649911}",5.0,OPERATIONAL,1.0,"{'text': 'Cherry Whispers: Lushbar Coffee', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'San Antonio Xluch III', 'addressLines': ['97297']}",,
6,ChIJxyMmp4ltVo8R--mMYSwMEmc,"C. 179, San Antonio Xluch III, 97290 Mérida, Yuc., Mexico","{'latitude': 20.8997357, 'longitude': -89.6498467}",,OPERATIONAL,,"{'text': 'Illys', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97290', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'San Antonio Xluch III', 'addressLines': ['C. 179']}",,
7,ChIJz5vZewBtVo8Rc0WMR2FVG6k,"C. 191 1, Guadalupana, 97315 Mérida, Yuc., Mexico","{'latitude': 20.8954217, 'longitude': -89.63660670000002}",5.0,OPERATIONAL,4.0,"{'text': 'Cafeteria 191', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97315', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Guadalupana', 'addressLines': ['C. 191 1']}",,
8,ChIJ5UL1oU1vVo8RmlsKUioRO4s,"C. 179 522, Plan de Ayala II, 97285 Mérida, Yuc., Mexico","{'latitude': 20.900927199999998, 'longitude': -89.6207714}",4.5,OPERATIONAL,4.0,"{'text': 'Yo elijo Mara', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97285', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Plan de Ayala II', 'addressLines': ['C. 179 522']}",,
9,ChIJJ3Bh7YJlVo8RZF0uy5b-Jrc,"Municipio de Kanasín C 5b int 32 #291, frac Santa ana, 97376 Kanasin, Yuc., Mexico","{'latitude': 20.896414399999998, 'longitude': -89.5450458}",5.0,OPERATIONAL,1.0,"{'text': 'Nube', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97376', 'administrativeArea': 'Yucatan', 'locality': 'Kanasin', 'sublocality': 'frac Santa ana', 'addressLines': ['Municipio de Kanasín C 5b int 32 #291']}",,
10,ChIJdS6G2QdzVo8RQbfeVkEsZP0,"C 86, C. 171-A Supermanzana lll entre 171 y 171a, emiliano zapata sur, 97297 Mérida, Yuc., Mexico","{'latitude': 20.907900899999998, 'longitude': -89.6485812}",,OPERATIONAL,,"{'text': 'DORADIITAS MID', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97297', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'emiliano zapata sur', 'addressLines': ['C 86', 'C. 171-A SM lll entre 171 y 171a']}",,
11,ChIJfROFIABxVo8RbGVF_46mI_g,"C. 50ᴮ 321, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9080717, 'longitude': -89.6213667}",5.0,OPERATIONAL,1.0,"{'text': 'Lonchera Naomi', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'regionCode': 'MX', 'languageCode': 'en-US', 'postalCode': '97285', 'administrativeArea': 'Yucatan', 'locality': 'Merida', 'sublocality': 'Plan de Ayala Sur', 'addressLines': ['C. 50ᴮ 321']}",,
